domain,ideology,type
wiscnews.com,,local
djournal.com,,local
wcti12.com,0.3352,
ocweekly.com,-0.4071,local
montrealgazette.com,-0.222,international
salemnews.com,-0.2097,local
rappler.com,-0.2073,international
chicagobusiness.com,-0.1564,local
theolympian.com,-0.1516,local
browardpalmbeach.com,-0.0907,local
dailynews.com,0.0592,local
heraldandnews.com,0.0693,local
islandpacket.com,0.1309,local
delcotimes.com,0.169,local
savannahnow.com,0.2235,local
idahopress.com,0.4522,local
dailyadvance.com,,local
apg-wi.com,,local
livingstonparishnews.com,,local
cleburnetimesreview.com,,local
foxbaltimore.com,0.0673,
klkntv.com,0.3823,
wishtv.com,0.149,
chicagoreader.com,-0.7109,local
dailynorthwestern.com,-0.6088,local
heraldnet.com,0.0329,local
thelcn.com,0.1811,local
elkodaily.com,0.3863,local
griffindailynews.com,,local
marshallnews.com,,local
wcjb.com,0.2729,
wrcbtv.com,0.1477,
villagevoice.com,-0.7541,national
rightwingwatch.org,-0.6068,national
austinchronicle.com,-0.5237,local
southcoasttoday.com,-0.3375,local
itemlive.com,-0.2732,local
bakersfield.com,-0.0985,local
telegram.com,-0.0927,local
poughkeepsiejournal.com,-0.0314,local
pjstar.com,0.045,local
lasvegassun.com,0.0727,local
sunherald.com,0.0819,local
cantonrep.com,0.3176,local
armytimes.com,0.4144,national
muskogeephoenix.com,0.5249,local
sedaliademocrat.com,,local
tylerpaper.com,,local
kezi.com,-0.1043,
nbc29.com,0.1215,
newschannel9.com,0.1998,
turnto10.com,-0.093,
registerguard.com,-0.1947,local
onlineathens.com,0.1399,local
thetowntalk.com,0.3607,local
goldenstatenewspapers.com,,local
waltontribune.com,,local
swnewsherald.com,,local
peninsuladailynews.com,,local
theintermountain.com,,local
fdlreporter.com,,local
fox23.com,0.4381,
wjhg.com,0.6565,
harpers.org,-0.756,national
blackamericaweb.com,-0.7532,national
arktimes.com,-0.6297,local
thecrimson.com,-0.4793,local
loudountimes.com,-0.304,local
presstelegram.com,-0.2562,local
capecodtimes.com,-0.1952,local
santacruzsentinel.com,-0.1454,local
nyse.com,-0.1163,national
sctimes.com,-0.0448,local
duluthnewstribune.com,-0.0077,local
oanow.com,0.2322,local
heraldtribune.com,0.2612,local
bradenton.com,0.3184,local
conservativetribune.com,0.8741,national
morgancountycitizen.com,,local
timesuniononline.com,,local
indeonline.com,,local
myplainview.com,,local
gmnews.com,,local
kcentv.com,0.3416,
kvia.com,-0.1729,
adirondackdailyenterprise.com,-0.1454,local
nationaljournal.com,-0.0941,national
boiseweekly.com,-0.0072,local
newarkadvocate.com,0.1525,local
lancasteronline.com,0.2046,local
firsttoknow.com,0.3017,national
hotsr.com,,local
harlandaily.com,,local
timesgazette.com,,local
expressnews.com,0.1387,
nbc11news.com,0.2974,
wdtn.com,0.1168,
rferl.org,-0.4119,national
metrowestdailynews.com,-0.1544,local
lcsun-news.com,-0.0891,local
trentonian.com,-0.0263,local
theoaklandpress.com,0.045,local
capitalgazette.com,0.1496,local
journalinquirer.com,0.3605,local
journalpatriot.com,,local
punxsutawneyspirit.com,,local
newstrib.com,,local
kark.com,,
koaa.com,0.3404,
ktul.com,0.4381,
wbko.com,0.3727,
wltx.com,0.1632,
sfweekly.com,-0.5057,local
alibi.com,-0.4655,local
columbian.com,-0.2822,local
newsroom.ucla.edu,-0.2101,local
dnaindia.com,-0.1687,international
couriermail.com.au,-0.0787,international
ohio.com,-0.0189,local
newspressnow.com,0.203,local
otmj.com,,local
northwestgeorgianews.com,,local
swtimes.com,,local
tricornernews.com,,local
mrc.org,,national
tribtoday.com,,local
fox16.com,,
kxxv.com,,
record-courier.com,,
wect.com,0.3209,
wtva.com,,
sourcewatch.org,-0.8738,national
lemonde.fr,-0.5317,international
dailycamera.com,-0.3862,local
jewishjournal.com,-0.2029,national
business-standard.com,-0.1273,national
chinadaily.com.cn,-0.0837,international
fosters.com,0.0482,local
redding.com,0.1458,local
poconorecord.com,0.2132,local
gazettextra.com,0.2856,local
news-journalonline.com,0.3095,local
chicoer.com,,local
candgnews.com,,local
swnewsmedia.com,,local
marionstar.com,,local
goskagit.com,,local
daily-journal.com,,local
fox10tv.com,0.5697,
khq.com,0.3451,
krcrtv.com,-0.0139,
ksbw.com,-0.0217,
ktsm.com,,
milenio.com,,
lowellsun.com,-0.0426,local
timesfreepress.com,-0.0026,local
journal-news.com,0.0948,local
rapidcityjournal.com,0.2475,local
news-herald.com,0.3225,local
yorknewstimes.com,0.6552,local
alamosanews.com,,local
capegazette.com,,local
pdclarion.com,,local
cassville-democrat.com,,local
